datetime,machineID,comp
1/6/2014 6:00,1,comp2
16/7/2014 6:00,1,comp4
31/7/2014 6:00,1,comp3
13/12/2014 6:00,1,comp1
5/1/2015 6:00,1,comp4
5/1/2015 6:00,1,comp1
20/1/2015 6:00,1,comp3
20/1/2015 6:00,1,comp1
4/2/2015 6:00,1,comp4
4/2/2015 6:00,1,comp3
19/2/2015 6:00,1,comp3
6/3/2015 6:00,1,comp1
21/3/2015 6:00,1,comp1
5/4/2015 6:00,1,comp3
20/4/2015 6:00,1,comp2
5/5/2015 6:00,1,comp3
5/5/2015 6:00,1,comp2
20/5/2015 6:00,1,comp2
4/6/2015 6:00,1,comp3
19/6/2015 6:00,1,comp1
19/6/2015 6:00,1,comp4
4/7/2015 6:00,1,comp2
19/7/2015 6:00,1,comp1
3/8/2015 6:00,1,comp1
2/9/2015 6:00,1,comp1
2/9/2015 6:00,1,comp4
17/9/2015 6:00,1,comp2
2/10/2015 6:00,1,comp4
2/10/2015 6:00,1,comp1
17/10/2015 6:00,1,comp4
17/10/2015 6:00,1,comp2
1/11/2015 6:00,1,comp4
1/11/2015 6:00,1,comp2
16/11/2015 6:00,1,comp2
1/12/2015 6:00,1,comp3
16/12/2015 6:00,1,comp4
31/12/2015 6:00,1,comp1
16/6/2014 6:00,2,comp1
16/7/2014 6:00,2,comp3
15/8/2014 6:00,2,comp2
28/11/2014 6:00,2,comp4
18/1/2015 6:00,2,comp4
2/2/2015 6:00,2,comp3
17/2/2015 6:00,2,comp3
4/3/2015 6:00,2,comp4
19/3/2015 6:00,2,comp2
19/3/2015 6:00,2,comp1
3/4/2015 6:00,2,comp3
18/4/2015 6:00,2,comp2
3/5/2015 6:00,2,comp2
18/5/2015 6:00,2,comp4
2/6/2015 6:00,2,comp3
17/6/2015 6:00,2,comp2
17/6/2015 6:00,2,comp4
2/7/2015 6:00,2,comp2
17/7/2015 6:00,2,comp4
17/7/2015 6:00,2,comp1
1/8/2015 6:00,2,comp4
16/8/2015 6:00,2,comp2
31/8/2015 6:00,2,comp2
31/8/2015 6:00,2,comp4
15/10/2015 6:00,2,comp4
30/10/2015 6:00,2,comp4
30/10/2015 6:00,2,comp1
14/11/2015 6:00,2,comp1
29/11/2015 6:00,2,comp1
29/11/2015 6:00,2,comp3
14/12/2015 6:00,2,comp1
29/12/2015 6:00,2,comp2
16/6/2014 6:00,3,comp3
1/7/2014 6:00,3,comp4
15/8/2014 6:00,3,comp1
28/11/2014 6:00,3,comp2
7/1/2015 6:00,3,comp2
22/1/2015 6:00,3,comp4
6/2/2015 6:00,3,comp1
21/2/2015 6:00,3,comp1
21/2/2015 6:00,3,comp3
8/3/2015 6:00,3,comp3
8/3/2015 6:00,3,comp2
23/3/2015 6:00,3,comp1
7/4/2015 6:00,3,comp2
22/4/2015 6:00,3,comp3
7/5/2015 6:00,3,comp4
22/5/2015 6:00,3,comp2
6/6/2015 6:00,3,comp4
21/6/2015 6:00,3,comp3
21/6/2015 6:00,3,comp4
6/7/2015 6:00,3,comp3
6/7/2015 6:00,3,comp4
21/7/2015 6:00,3,comp2
5/8/2015 6:00,3,comp2
20/8/2015 6:00,3,comp1
4/9/2015 6:00,3,comp4
4/9/2015 6:00,3,comp1
19/9/2015 6:00,3,comp1
19/9/2015 6:00,3,comp3
4/10/2015 6:00,3,comp2
19/10/2015 6:00,3,comp4
19/10/2015 6:00,3,comp2
3/11/2015 6:00,3,comp2
3/11/2015 6:00,3,comp1
18/11/2015 6:00,3,comp4
18/11/2015 6:00,3,comp1
3/12/2015 6:00,3,comp2
18/12/2015 6:00,3,comp2
16/6/2014 6:00,4,comp2
31/7/2014 6:00,4,comp1
13/11/2014 6:00,4,comp3
13/12/2014 6:00,4,comp4
17/1/2015 6:00,4,comp2
16/2/2015 6:00,4,comp1
3/3/2015 6:00,4,comp1
18/3/2015 6:00,4,comp1
18/3/2015 6:00,4,comp3
2/4/2015 6:00,4,comp2
2/4/2015 6:00,4,comp4
17/4/2015 6:00,4,comp3
2/5/2015 6:00,4,comp4
17/5/2015 6:00,4,comp3
1/6/2015 6:00,4,comp4
16/6/2015 6:00,4,comp4
1/7/2015 6:00,4,comp1
16/7/2015 6:00,4,comp2
31/7/2015 6:00,4,comp4
30/8/2015 6:00,4,comp1
14/9/2015 6:00,4,comp4
14/9/2015 6:00,4,comp3
29/9/2015 6:00,4,comp3
14/10/2015 6:00,4,comp2
29/10/2015 6:00,4,comp2
29/10/2015 6:00,4,comp3
13/11/2015 6:00,4,comp2
13/11/2015 6:00,4,comp4
28/11/2015 6:00,4,comp1
28/11/2015 6:00,4,comp4
13/12/2015 6:00,4,comp1
13/12/2015 6:00,4,comp4
28/12/2015 6:00,4,comp3
15/8/2014 6:00,5,comp3
30/8/2014 6:00,5,comp2
29/9/2014 6:00,5,comp4
14/10/2014 6:00,5,comp1
9/1/2015 6:00,5,comp2
24/1/2015 6:00,5,comp2
8/2/2015 6:00,5,comp3
23/2/2015 6:00,5,comp4
23/2/2015 6:00,5,comp1
10/3/2015 6:00,5,comp4
25/3/2015 6:00,5,comp4
9/4/2015 6:00,5,comp1
24/4/2015 6:00,5,comp3
24/4/2015 6:00,5,comp2
9/5/2015 6:00,5,comp4
24/5/2015 6:00,5,comp2
8/6/2015 6:00,5,comp3
23/6/2015 6:00,5,comp2
8/7/2015 6:00,5,comp2
23/7/2015 6:00,5,comp2
7/8/2015 6:00,5,comp3
7/8/2015 6:00,5,comp2
22/8/2015 6:00,5,comp3
6/9/2015 6:00,5,comp2
6/9/2015 6:00,5,comp1
21/9/2015 6:00,5,comp4
21/9/2015 6:00,5,comp1
6/10/2015 6:00,5,comp2
6/10/2015 6:00,5,comp1
21/10/2015 6:00,5,comp3
5/11/2015 6:00,5,comp3
5/11/2015 6:00,5,comp4
20/11/2015 6:00,5,comp1
5/12/2015 6:00,5,comp1
20/12/2015 6:00,5,comp3
1/6/2014 6:00,6,comp2
14/9/2014 6:00,6,comp3
14/9/2014 6:00,6,comp4
28/12/2014 6:00,6,comp1
22/1/2015 6:00,6,comp4
6/2/2015 6:00,6,comp4
6/2/2015 6:00,6,comp3
21/2/2015 6:00,6,comp4
21/2/2015 6:00,6,comp3
8/3/2015 6:00,6,comp3
8/3/2015 6:00,6,comp4
23/3/2015 6:00,6,comp4
7/4/2015 6:00,6,comp1
22/4/2015 6:00,6,comp3
22/4/2015 6:00,6,comp4
7/5/2015 6:00,6,comp2
7/5/2015 6:00,6,comp4
22/5/2015 6:00,6,comp2
21/6/2015 6:00,6,comp1
6/7/2015 6:00,6,comp1
6/7/2015 6:00,6,comp2
21/7/2015 6:00,6,comp2
21/7/2015 6:00,6,comp3
5/8/2015 6:00,6,comp4
20/8/2015 6:00,6,comp1
20/8/2015 6:00,6,comp3
19/9/2015 6:00,6,comp3
3/11/2015 6:00,6,comp4
3/11/2015 6:00,6,comp2
18/11/2015 6:00,6,comp4
18/11/2015 6:00,6,comp2
3/12/2015 6:00,6,comp3
3/12/2015 6:00,6,comp2
18/12/2015 6:00,6,comp2
1/7/2014 6:00,7,comp1
1/7/2014 6:00,7,comp3
15/8/2014 6:00,7,comp2
28/11/2014 6:00,7,comp4
24/1/2015 6:00,7,comp2
24/1/2015 6:00,7,comp4
8/2/2015 6:00,7,comp1
8/2/2015 6:00,7,comp2
23/2/2015 6:00,7,comp1
23/2/2015 6:00,7,comp2
10/3/2015 6:00,7,comp2
25/3/2015 6:00,7,comp3
25/3/2015 6:00,7,comp2
9/4/2015 6:00,7,comp2
24/4/2015 6:00,7,comp1
9/5/2015 6:00,7,comp1
9/5/2015 6:00,7,comp4
24/5/2015 6:00,7,comp2
24/5/2015 6:00,7,comp3
8/6/2015 6:00,7,comp3
8/6/2015 6:00,7,comp2
23/6/2015 6:00,7,comp3
8/7/2015 6:00,7,comp2
23/7/2015 6:00,7,comp2
23/7/2015 6:00,7,comp3
22/8/2015 6:00,7,comp2
6/9/2015 6:00,7,comp1
21/9/2015 6:00,7,comp1
21/9/2015 6:00,7,comp4
6/10/2015 6:00,7,comp3
21/10/2015 6:00,7,comp2
21/10/2015 6:00,7,comp4
5/11/2015 6:00,7,comp2
5/11/2015 6:00,7,comp4
20/11/2015 6:00,7,comp3
5/12/2015 6:00,7,comp4
20/12/2015 6:00,7,comp1
30/8/2014 6:00,8,comp3
14/10/2014 6:00,8,comp2
28/11/2014 6:00,8,comp1
13/12/2014 6:00,8,comp4
6/1/2015 6:00,8,comp4
21/1/2015 6:00,8,comp1
7/3/2015 6:00,8,comp2
22/3/2015 6:00,8,comp4
6/4/2015 6:00,8,comp3
21/4/2015 6:00,8,comp2
6/5/2015 6:00,8,comp2
21/5/2015 6:00,8,comp2
5/6/2015 6:00,8,comp1
